"acousticness","album","album_uri","analysis_url","artist","artist_uri","danceability","duration_ms","energy","id","instrumentalness","key","liveness","loudness","mode","name","name_uri","play_count","popularity","speechiness","tempo","time_signature","track_href","type","uri","valence"
"0.46","Coke Studio India Season 3: Episode 1","spotify:album:2CStgaiOhe1w4OXAoqP1gl","https://api.spotify.com/v1/audio-analysis/0PuaYHseEiuGj3syu49k6G","A.R. Rahman","spotify:artist:1mYsTxnqsietFxj1OgoGbG","0.318","325787","0.508","0PuaYHseEiuGj3syu49k6G","0.000121","1","0.106","-6.067","1","Naan Yen","spotify:track:0PuaYHseEiuGj3syu49k6G","339","26","0.0319","157.897","3","https://api.spotify.com/v1/tracks/0PuaYHseEiuGj3syu49k6G","audio_features","spotify:track:0PuaYHseEiuGj3syu49k6G","0.301"
"0.928","M.S. Subbulakshmi Sings for Tirupati Lord Balaji, Vol. 2","spotify:album:04xT20RMJapzremhO0u9Ic","https://api.spotify.com/v1/audio-analysis/79y6wJlyMAXPX07ZL0nIPs","M. S. Subbulakshmi","spotify:artist:35NVYJXOwkjY8bpul6OBQl","0.677","1785809","0.313","79y6wJlyMAXPX07ZL0nIPs","0","5","0.333","-8.046","1","Vishnu Sahasranamam","spotify:track:79y6wJlyMAXPX07ZL0nIPs","210","12","0.591","99.248","1","https://api.spotify.com/v1/tracks/79y6wJlyMAXPX07ZL0nIPs","audio_features","spotify:track:79y6wJlyMAXPX07ZL0nIPs","0.553"
"0.963","19","spotify:album:5VN0zLpsF5QD62XYuvXOio","https://api.spotify.com/v1/audio-analysis/1wV3ZgBuui1rhpKVPVnplu","Adele","spotify:artist:4dpARuHxo51G3z768sgnrY","0.805","220507","0.104","1wV3ZgBuui1rhpKVPVnplu","0","9","0.107","-13.237","1","Daydreamer","spotify:track:1wV3ZgBuui1rhpKVPVnplu","183","59","0.0404","108.959","4","https://api.spotify.com/v1/tracks/1wV3ZgBuui1rhpKVPVnplu","audio_features","spotify:track:1wV3ZgBuui1rhpKVPVnplu","0.335"
"0.57","Coke Studio India Season 3: Episode 1","spotify:album:2CStgaiOhe1w4OXAoqP1gl","https://api.spotify.com/v1/audio-analysis/4d1cHyIjRiapEADcUyYSCb","A.R. Rahman","spotify:artist:1mYsTxnqsietFxj1OgoGbG","0.649","449893","0.685","4d1cHyIjRiapEADcUyYSCb","0.000578","7","0.252","-7.208","1","Aao Balma","spotify:track:4d1cHyIjRiapEADcUyYSCb","182","20","0.0432","100.039","4","https://api.spotify.com/v1/tracks/4d1cHyIjRiapEADcUyYSCb","audio_features","spotify:track:4d1cHyIjRiapEADcUyYSCb","0.13"
"0.723","Coke Studio India Season 3: Episode 1","spotify:album:2CStgaiOhe1w4OXAoqP1gl","https://api.spotify.com/v1/audio-analysis/4VBcSdHciqgtE4KjR1FbBf","A.R. Rahman","spotify:artist:1mYsTxnqsietFxj1OgoGbG","0.569","257747","0.454","4VBcSdHciqgtE4KjR1FbBf","0.0071","7","0.176","-10.708","0","Ennile Maha Oliyo","spotify:track:4VBcSdHciqgtE4KjR1FbBf","166","15","0.0257","76.98","1","https://api.spotify.com/v1/tracks/4VBcSdHciqgtE4KjR1FbBf","audio_features","spotify:track:4VBcSdHciqgtE4KjR1FbBf","0.194"
"0.209","Coke Studio India Season 3: Episode 1","spotify:album:2CStgaiOhe1w4OXAoqP1gl","https://api.spotify.com/v1/audio-analysis/1MKPjDuBfunRixoPRkXnZ5","A.R. Rahman","spotify:artist:1mYsTxnqsietFxj1OgoGbG","0.695","405360","0.742","1MKPjDuBfunRixoPRkXnZ5","0","0","0.313","-6.179","1","Jagaao Mere Des Ko","spotify:track:1MKPjDuBfunRixoPRkXnZ5","154","20","0.0373","125.994","4","https://api.spotify.com/v1/tracks/1MKPjDuBfunRixoPRkXnZ5","audio_features","spotify:track:1MKPjDuBfunRixoPRkXnZ5","0.214"
"0.91","19","spotify:album:6Pb3K1oPXdhsqFXtzKe3Z1","https://api.spotify.com/v1/audio-analysis/7rPLZ8Krm6CZIbraFUlnWZ","Adele","spotify:artist:4dpARuHxo51G3z768sgnrY","0.325","212040","0.18","7rPLZ8Krm6CZIbraFUlnWZ","0.000633","10","0.113","-10.647","1","Make You Feel My Love","spotify:track:7rPLZ8Krm6CZIbraFUlnWZ","143","69","0.0311","72.416","1","https://api.spotify.com/v1/tracks/7rPLZ8Krm6CZIbraFUlnWZ","audio_features","spotify:track:7rPLZ8Krm6CZIbraFUlnWZ","0.0997"
"0.325","19","spotify:album:6Pb3K1oPXdhsqFXtzKe3Z1","https://api.spotify.com/v1/audio-analysis/59tg0OPhiHlbsVZ9GFqUk5","Adele","spotify:artist:4dpARuHxo51G3z768sgnrY","0.615","210507","0.472","59tg0OPhiHlbsVZ9GFqUk5","0","5","0.115","-6.073","0","Chasing Pavements","spotify:track:59tg0OPhiHlbsVZ9GFqUk5","128","61","0.0267","80.072","4","https://api.spotify.com/v1/tracks/59tg0OPhiHlbsVZ9GFqUk5","audio_features","spotify:track:59tg0OPhiHlbsVZ9GFqUk5","0.327"
"0.297","Coke Studio India Season 3: Episode 1","spotify:album:2CStgaiOhe1w4OXAoqP1gl","https://api.spotify.com/v1/audio-analysis/7kWMZ2LZIedqzCgPkGNX81","A.R. Rahman","spotify:artist:1mYsTxnqsietFxj1OgoGbG","0.396","432893","0.736","7kWMZ2LZIedqzCgPkGNX81","0.384","4","0.153","-6.291","1","Zariya","spotify:track:7kWMZ2LZIedqzCgPkGNX81","122","26","0.0607","102.012","4","https://api.spotify.com/v1/tracks/7kWMZ2LZIedqzCgPkGNX81","audio_features","spotify:track:7kWMZ2LZIedqzCgPkGNX81","0.0356"
"0.665","19","spotify:album:5VN0zLpsF5QD62XYuvXOio","https://api.spotify.com/v1/audio-analysis/2ZzL9ajouuH7GoJBs6ZkNM","Adele","spotify:artist:4dpARuHxo51G3z768sgnrY","0.621","258507","0.312","2ZzL9ajouuH7GoJBs6ZkNM","0","4","0.105","-10.93","0","Best For Last","spotify:track:2ZzL9ajouuH7GoJBs6ZkNM","111","52","0.258","105.181","4","https://api.spotify.com/v1/tracks/2ZzL9ajouuH7GoJBs6ZkNM","audio_features","spotify:track:2ZzL9ajouuH7GoJBs6ZkNM","0.597"
