name, artist, album, genre, played
Naan Yen,A. R. Rahman & Rayhanah,Coke Studio India Season 3: Episode 1,Indian Pop,339
Vishnu Sahasranamam,Devotional Songs,Vishnu Sahasranamam,Soundtrack,210
Rehna Tu,A.R. Rahman,MTV Unplugged,Video,204
Maahi Ve,A.R.Rahman,Highway,StarMusiQ.Com,190
Daydreamer,Adele,19,Pop,183
Aao Balma,"A. R. Rahman, Ustad Ghulam Mustafa Khan, Murtuza Mustafa, Qadir Mustafa, Rabbani Mustafa, Hasan Musta & Faiz Mustafa",Coke Studio India Season 3: Episode 1,Indian Pop,182
Yadava Madhava,O.S. Arun,Yadava Madhava,Jazz,174
Warriors,Imagine Dragon,,,173
Ennile Maha Oliyo,"A. R. Rahman, Issrath Quadhri & Rayhanah",Coke Studio India Season 3: Episode 1,Indian Pop,166
Adiye ,Sid Sriram,Kadal (2012),DownloadSouthMP3.Com,157
Jagaao Mere Des Ko,"A. R. Rahman, Suchi & Blaaze",Coke Studio India Season 3: Episode 1,Indian Pop,154
Mental Manadhil ,A. R. Rahman & Jonita Gandhi,O Kadhal Kanmani,Tamil,152
All About That Bass,Meghan Trainor,2015 GRAMMY Nominees,Adult Alternative Pop,146
Make You Feel My Love,Adele,19,Pop,143
Shri Krishna Karnamrta Stotram/Balamukundashtakam,O.S. Arun,Yadava Madhava,Jazz,143
Thalli Pogathey,"A. R. Rahman, Sid Sriram, Aaryan Dinesh Kanagaratnam & Aparna Narayanan",Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack) - EP,Tamil,135
Kaara Aattakkaara ,"A. R. Rahman, Aaryan Dinesh Kanagaratnam, Darshana & Shashaa Tirupati",O Kadhal Kanmani,Tamil,132
A Sky Full Of Stars,Coldplay,Absolute Music 76,British Indie Rock/Pop,132
Chasing Pavements,Adele,19,Pop,128
Zariya,"A. R. Rahman, Farah Siraj & Ani Choying Drolma",Coke Studio India Season 3: Episode 1,Indian Pop,122
Best For Last,Adele,19,Pop,111
Madhurashtakam,O.S. Arun,Yadava Madhava,Jazz,106
Rasaali,"A. R. Rahman, Sathya Prakash & Shashaa Tirupati",Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack) - EP,Tamil,103
My Same,Adele,19,Pop,102
Aadhithiya Hirudayam,TamilBeat.Com,Sindhu Bhairavi,Soundtrack,102
Elay Keechaan ,A.R.Rahman,Kadal (2012),DownloadSouthMP3.Com,100
Atlas,Coldplay,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack) [Deluxe Edition],Soundtrack,98
Krishnashtakam,O.S. Arun,Yadava Madhava,Jazz,98
Wake Me Up,Avicii,The BRIT Awards 2014,Progressive House,97
Nenjae Yezhu,A. R. Rahman,Maryan,StarMusiQ.Com,96
Soz O Salaam,"A. R. Rahman, Ustad Ghulam Mustafa Khan, Murtuza Mustafa, Qadir Mustafa, Rabbani Mustafa, Hasan Musta & Faiz Mustafa",Coke Studio India Season 3: Episode 1,Indian Pop,95
Steal My Girl,One Direction,Steal My Girl,Teen Pop,95
Shri Govindashtakam,O.S. Arun,Yadava Madhava,Jazz,94
Vellai Pookal Ulagam,A. R. Rahman,Kannathil Muthamittal,Soundtrack,93
First Love,Adele,19,Pop,90
Theera Ulaa ,"A. R. Rahman, Darshana & Nikhita Gandhi",O Kadhal Kanmani,Tamil,89
Yeh Jo Des Hai Tera,A.R. Rahman,Swades,Indian Film Pop,89
Varavaa Varavaa,"Anirudh, Vignesh Shivan",Naanum Rowdy Dhaan (2015),Tamil,89
Patakha Guddi,"Sultana, Jyoti Nooran",Highway,StarMusiQ.Com,89
